사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
유성 당근 호텔,"대전광역시 유성구 온천로 22, 지상2층 (봉명동)",일반호텔,16,0,36.3549374,127.3450624
동성모텔,대전광역시 중구 당디로124번길 38 (유천동),여관업,25,1,36.3162468,127.3926726
고래하우스,"대전광역시 중구 목척8길 11, 3층 (은행동)",숙박업 기타,5,0,36.3295952,127.4264845
스타웍스호텔,"대전광역시 서구 둔산로73번길 30, 2~15층 (둔산동)",숙박업(생활),154,0,36.3524223,127.3819663
스카이빌,대전광역시 중구 문창로 109-9 (대흥동),숙박업(생활),4,11,36.3160659,127.4338853
루체스타리치먼드시티1,"대전광역시 유성구 계룡로141번길 30-1, 지상2층~지상20층 229객실(201호 외 228객실) (봉명동)",숙박업(생활),229,0,36.3538733,127.346488
둔산스테이어반,"대전광역시 서구 둔산로73번길 38, 스테이어반 2~18층 (둔산동)",숙박업(생활),346,0,36.3524223,127.3819663
봉쥬르카운티,"대전광역시 서구 둔산중로64번길 25, 2~15층 (둔산동)",숙박업(생활),93,0,36.3526,127.3883
Time Terminal Hotel,"대전광역시 동구 동서대로1683번길 76-7, 지하1층 ~ 6층 (용전동)",관광호텔,42,0,36.3524766,127.435556
봉쥬르카운티2,"대전광역시 서구 둔산로65번길 24, 봉쥬르카운티2 2층~20층 (둔산동)",숙박업(생활),133,0,36.3509036,127.3811509
주식회사 은하수디앤엠(D&M),"대전광역시 유성구 계룡로141번길 13-5, 지상1층 접객대 및 지상5, 7, 8~16층 일부(23객실) (봉명동)",숙박업(생활),23,0,36.3538733,127.346488
루체스타 리치먼드시티,"대전광역시 유성구 계룡로141번길 30-1, 지상 2~20층 일부(124개)호 (봉명동)",숙박업(생활),124,0,36.3538733,127.346488
메종 팰리스 대전,"대전광역시 동구 창조3길 15, 2~8층 (정동)",숙박업(생활),50,0,36.3281325,127.4359107
로망스Ⅱ,대전광역시 동구 동서대로 1699-20 (용전동),여관업,17,3,36.3458005,127.4298745
아늑호텔대전대흥점,"대전광역시 중구 대종로460번길 11, 2,3,4층 (대흥동)",일반호텔,22,0,36.3266754,127.429868
호모텔,"대전광역시 동구 한밭대로1316번길 17, 1~4층 (용전동)",여관업,18,0,36.3515188,127.439411
호텔디에디션,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 3층~13층 (둔산동)",일반호텔,140,0,36.3501274,127.3876838
베가시티,"대전광역시 유성구 계룡로141번길 13-5, 지상1, 3~15(일부)층, 33개호실 (봉명동)",숙박업(생활),33,0,36.3538733,127.346488
피닉스모텔,대전광역시 대덕구 중리로7번길 14-23 (중리동),여관업,43,0,36.3597079,127.4230059
더휴식아늑 유성2호점,"대전광역시 유성구 계룡로123번길 36, 지상1~6층 (봉명동)",일반호텔,38,0,36.3549374,127.3450624
위너팰리스,"대전광역시 서구 둔산중로64번길 26, 위너펠리스 3층~15층 (둔산동)",숙박업(생활),0,77,36.3523,127.3883
주식회사 신세계센트럴시티 호텔 오노마,"대전광역시 유성구 엑스포로 1, 신세계 엑스포점 (도룡동)",관광호텔,171,0,36.3750009,127.3832953
장수여인숙,대전광역시 동구 선화로214번길 67-2 (정동),여인숙업,5,0,36.3324,127.4315
원호텔,"대전광역시 유성구 온천서로 22-6, 지상5,6,7,8층 (봉명동)",숙박업 기타,43,0,36.3573221,127.3394849
상원빌,"대전광역시 중구 중앙로109번길 43, 2,3,4층 (선화동)",숙박업(생활),21,0,36.3287385,127.4214893
스테이준,"대전광역시 중구 대흥로165번길 36, 2층일부, 4~6층 (대흥동)",숙박업(생활),0,37,36.3258287,127.429728
한빛타운,"대전광역시 중구 중앙로121번길 49-7, 1~4층 (선화동, 한빛타운)",숙박업(생활),0,26,36.3291507,127.4226446
호텔스카이파크대전1호점,"대전광역시 유성구 테크노중앙로 161, 호텔 스카이파크 숙박시설동 지하1~7층 (용산동)",관광호텔,100,0,36.4247613,127.3981546
퀸스타운,"대전광역시 유성구 계룡로105번길 74, 지상2~5층 (봉명동)",여관업,48,1,36.3566,127.3441
세도나모텔,대전광역시 대덕구 한밭대로1129번길 30 (중리동),여관업,28,0,36.3619269,127.4238253
동백장,대전광역시 동구 선화로196번길 44-3 (중동),여관업,8,1,36.3318618,127.4291991
라마다대전호텔,"대전광역시 유성구 계룡로 127, 지상2~15층 (봉명동)",일반호텔,222,0,36.3535447,127.3417308
다연하우스,"대전광역시 중구 목척8길 45, 1~3층 (은행동)",숙박업(생활),18,0,36.3295952,127.4264845
아름드리,"대전광역시 중구 대종로505번길 56, 2~5층 (선화동)",숙박업(생활),20,0,36.3288321,127.4237966
레지던스호텔라인,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",숙박업(생활),118,0,36.3534803,127.3803531
스토리,"대전광역시 동구 대전로839번길 27, 태웅관광호텔 (정동)",여관업,28,2,36.3334128,127.429336
태양빌,"대전광역시 중구 보문로262번길 30, 2~4층 (대흥동)",숙박업(생활),15,,36.3264689,127.422966
그랜드캐슬,"대전광역시 서구 문정로89번길 33, 그랜드캐슬 3~15층 (탄방동)",숙박업(생활),103,0,36.3478627,127.3892439
힐링 모텔,대전광역시 대덕구 중리로21번길 17 (중리동),숙박업(생활),21,0,36.3619512,127.4248381
스테이아야나(STAY AYANA),대전광역시 대덕구 덕암로148번길 30 (상서동),여관업,26,0,36.4331134,127.4225095
잉카모텔,대전광역시 동구 대전천동로 570 (중동),여관업,73,0,36.3274158,127.4317941
나루무인텔,대전광역시 대덕구 신탄진동로7번길 24 (신탄진동),여관업,37,0,36.449223,127.4299318
프린스빌,"대전광역시 중구 선화로 126-7, 2~3층 (선화동)",숙박업(생활),0,3,36.324109,127.4114682
아가페,"대전광역시 중구 대종로452번길 30, 2~6층 (대흥동)",숙박업(생활),35,0,36.3258287,127.429728
플러스빌(plus ville),"대전광역시 동구 동서대로 1699-14, 1,2,3층 (용전동)",숙박업(생활),19,0,36.3458005,127.4298745
호텔썸,대전광역시 중구 문창로102번길 22 (문창동),여관업,28,0,36.3224315,127.4329276
리츠빌,"대전광역시 중구 목척4길 47, 3~4층 (은행동)",숙박업(생활),17,0,36.3304827,127.4247721
호텔 스탕달,"대전광역시 유성구 온천북로 14, 지상1, 3~13층 (봉명동)",숙박업(생활),70,0,36.3567849,127.3467595
플러스,"대전광역시 유성구 계룡로105번길 76, 지상1~9층 (봉명동)",여관업,30,0,36.3567,127.344
호텔3월,"대전광역시 서구 둔산중로32번길 29, 1~9층 (둔산동)",일반호텔,49,0,36.349489,127.3888784
초롱하우스,"대전광역시 중구 대종로517번길 39, 2~3층 (선화동)",숙박업(생활),0,11,36.3296795,127.4237497
투무인텔,대전광역시 동구 물류로13번길 63 (구도동),여관업,26,0,36.2720509,127.4695487
더에이치,대전광역시 대덕구 신탄진동로23번길 58 (신탄진동),여관업,31,0,36.4494771,127.4315036
대전나무호텔,대전광역시 유성구 온천서로 30-6 (봉명동),숙박업 기타,47,2,36.3573221,127.3394849
만인산,대전광역시 동구 물류로13번길 7 (구도동),여관업,35,0,36.2720509,127.4695487
약수장,대전광역시 동구 동서대로1683번길 46-11 (용전동),여관업,24,8,36.3524766,127.435556
호텔7,대전광역시 중구 문창로90번길 8 (문창동),여관업,14,0,36.321847,127.4342998
크리스탈레지던스호텔,대전광역시 중구 대종로452번길 38 (대흥동),숙박업(생활),38,10,36.3258287,127.429728
썸무인텔,"대전광역시 서구 계룡로636번길 24, 1~6층동 (용문동)",숙박업 기타,41,0,36.3394122,127.3907908
나봄호텔 주식회사,"대전광역시 유성구 테크노중앙로 69 (관평동, 지상1층, 3~10층)",관광호텔,75,0,36.4258888,127.3932954
마치호텔,"대전광역시 서구 둔산중로64번길 20, 2~12층 (둔산동)",숙박업(생활),128,0,36.3523,127.388
리스보아모텔,대전광역시 동구 동서대로1705번길 52 (용전동),여관업,47,0,36.3506668,127.4385353
자바무인텔,대전광역시 중구 문창로 85-16 (문창동),여관업,22,0,36.3160659,127.4338853
라운지모텔,대전광역시 동구 동서대로1705번길 46 (용전동),여관업,40,0,36.3506668,127.4385353
계룡스파텔,대전광역시 유성구 온천로 81 (봉명동),관광호텔,98,45,36.3549374,127.3450624
립스모텔,"대전광역시 대덕구 중리로7번길 14-19, 1~3층 (중리동)",여관업,19,0,36.3597079,127.4230059
드림파크,"대전광역시 중구 대둔산로 504-1, 2,3층 (유천동)",여관업,8,0,36.2815663,127.3757249
샾(#)모텔,대전광역시 동구 물류로13번길 13 (구도동),여관업,28,0,36.2720509,127.4695487
(주)호텔롯데 롯데시티호텔대전,대전광역시 유성구 엑스포로123번길 33 (도룡동),관광호텔,306,0,36.3757148,127.3919736
테크노밸리호텔,대전광역시 유성구 테크노중앙로 57 (관평동),관광호텔,74,0,36.42635685,127.3921265
맥모텔,대전광역시 유성구 온천북로 64 (봉명동),여관업,0,46,36.3569692,127.343365
한성장여관,"대전광역시 중구 문창로98번길 5, 1,2,3층 (문창동)",여관업,13,0,36.3220955,127.4331035
토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),일반호텔,300,0,36.358952,127.3875776
토요코인 대전정부청사앞,"대전광역시 서구 둔산중로134번길 13, 15~18층 (둔산동)",숙박업(생활),67,0,36.358952,127.3875776
호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동)",숙박업(생활),204,7,36.3528727,127.3871043
주식회사 비에디션 둔산점,대전광역시 서구 대덕대로220번길 23 (둔산동),일반호텔,54,0,36.3520903,127.3811565
호텔아이시시,대전광역시 유성구 엑스포로123번길 55 (도룡동),관광호텔,74,0,36.3757148,127.3919736
진영텔,대전광역시 중구 대흥로 7-6 (문화동),숙박업(생활),19,0,36.3238249,127.4266645
레지던스호텔 라 미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동)",숙박업(생활),103,3,36.3534803,127.3803531
정연하우스,대전광역시 중구 대종로529번길 39 (선화동),숙박업(생활),14,0,36.3302493,127.4220182
카리브모텔,대전광역시 중구 문창로98번길 31 (문창동),여관업,27,0,36.3220955,127.4331035
남양하우스,대전광역시 중구 중앙로121번길 43 (선화동),숙박업(생활),35,0,36.3299156,127.4222085
굿모닝레지던스호텔휴운영 주식회사,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동)",숙박업(생활),134,0,36.3524223,127.3819663
이안레지던스호텔,"대전광역시 서구 둔산로65번길 29, 1~10층 (둔산동)",숙박업(생활),70,0,36.3509036,127.3811509
두바이모텔,"대전광역시 동구 동서대로1695번길 47, 4층 (용전동)",여관업,0,30,36.3531482,127.4371511
호텔 선샤인,대전광역시 동구 동서대로 1700 (가양동),관광호텔,55,0,36.3458005,127.4298745
호텔얌유성온천역점,대전광역시 유성구 온천서로 30-13 (봉명동),여관업,24,0,36.3573221,127.3394849
팜스모텔,대전광역시 대덕구 중리로7번길 14-16 (중리동),여관업,28,0,36.3597079,127.4230059
로하스모텔,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동),여관업,36,0,36.4494771,127.4315036
콩모텔,대전광역시 중구 대흥로169번길 12 (대흥동),여관업,34,0,36.3260219,127.4302508
아이모텔,대전광역시 동구 한밭대로1316번길 11 (용전동),여관업,34,0,36.3515188,127.439411
로또,"대전광역시 서구 대덕대로234번길 29 (둔산동,(5~8층))",여관업,37,2,36.3535811,127.3819766
건후하우스,대전광역시 중구 대종로488번길 8 (은행동),숙박업(생활),15,2,36.3281824,127.4267856
두바이호텔,대전광역시 대덕구 신탄진로790번길 46 (신탄진동),여관업,36,0,36.4486177,127.433202
더휴식 스테이,대전광역시 유성구 계룡로155번길 26-7 (봉명동),여관업,21,0,36.353228,127.3479079
두솔모텔,대전광역시 중구 계룡로 791-17 (용두동),여관업,28,0,36.3196384,127.4170252
샾모텔,대전광역시 동구 대전로813번길 49 (중동),여관업,12,5,36.3315723,127.4307873
온천파크,대전광역시 동구 동서대로1683번길 56-15 (용전동),여관업,16,3,36.3524766,127.435556
J모텔,대전광역시 동구 한밭대로1314번길 27 (용전동),여관업,33,3,36.3518336,127.4387232
리치호텔,대전광역시 대덕구 중리로7번길 6-15 (중리동),여관업,18,2,36.3597079,127.4230059
까치장여인숙,대전광역시 동구 중앙로203번길 14-1 (중동),여인숙업,5,0,36.3328297,127.4303256
둥지모텔,대전광역시 대덕구 중리로7번길 6 (중리동),여관업,16,2,36.3597079,127.4230059
맥모텔,대전광역시 중구 계룡로921번길 12 (대사동),여관업,25,0,36.3215901,127.4170441
백운장,대전광역시 중구 유천로47번길 104 (유천동),여관업,10,0,36.3161374,127.3945659
더블유(W)모텔,대전광역시 유성구 온천북로 8 (봉명동),여관업,33,0,36.3567849,127.3467595
대림호텔,대전광역시 중구 대종로505번길 50 (선화동),관광호텔,44,0,36.3288321,127.4237966
아이호텔(I-HOTEL),대전광역시 유성구 엑스포로123번길 27-5 (도룡동),숙박업(생활),76,4,36.3757148,127.3919736
페이지호텔,대전광역시 대덕구 중리로7번길 14-5 (중리동),여관업,31,4,36.3597079,127.4230059
캐슬,대전광역시 대덕구 중리남로 51 (중리동),여관업,36,0,36.3608913,127.4262515
라움호텔,대전광역시 대덕구 한밭대로1149번길 25-6 (중리동),여관업,34,1,36.3597893,127.4262945
제우스모텔,대전광역시 중구 대종로529번길 41 (선화동),여관업,16,8,36.3302493,127.4220182
엔세븐(N7),대전광역시 동구 동서대로1695번길 66-17 (용전동),여관업,34,1,36.3531482,127.4371511
리베라호텔,대전광역시 대덕구 중리로7번길 6-9 (중리동),여관업,18,3,36.3597079,127.4230059
프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),여관업,34,1,36.3509036,127.3811509
초원모텔,대전광역시 유성구 계룡로123번길 27 (봉명동),여관업,27,3,36.3549374,127.3450624
보보스모텔,대전광역시 동구 동서대로1725번길 10 (용전동),여관업,35,0,36.3531075,127.4384564
호텔(HOTEL)141,대전광역시 유성구 계룡로141번길 13-11 (봉명동),여관업,29,5,36.3538733,127.346488
코지모텔,대전광역시 서구 도산로 114 (도마동),여관업,15,0,36.3357379,127.3898925
오리엔탈모텔,대전광역시 중구 계룡로874번길 103-1 (오류동),여관업,28,0,36.3225473,127.4080303
시네마이텔,대전광역시 유성구 대학로 8 (봉명동),여관업,43,1,36.3740741,127.3781724
카펠라모텔,대전광역시 대덕구 한밭대로1149번길 15-5 (중리동),여관업,36,0,36.3597893,127.4262945
호텔프리모,대전광역시 유성구 계룡로141번길 29-21 (봉명동),여관업,36,3,36.3538733,127.346488
네오텔,대전광역시 중구 문창로98번길 8 (문창동),여관업,30,0,36.3220955,127.4331035
브이아이피모텔,대전광역시 유성구 계룡로87번길 12 (봉명동),여관업,26,2,36.3557237,127.3411667
풀하우스,대전광역시 중구 유천로17번안길 50-11 (유천동),여관업,26,0,36.3147438,127.3921103
디엠프레스호텔,대전광역시 서구 한밭대로570번길 29-20 (월평동),관광호텔,66,0,36.357872,127.3615052
호텔지세븐,대전광역시 대덕구 중리남로 53 (중리동),여관업,34,2,36.3608913,127.4262515
아늑에어호텔대전문창점,대전광역시 중구 문창로94번길 28 (문창동),일반호텔,29,0,36.3217835,127.4332814
로즈마리모텔,대전광역시 중구 보문로162번길 94 (대사동),여관업,34,0,36.3188213,127.4285216
프롬에이치 썸,대전광역시 유성구 대정로 10 (대정동),일반호텔,30,6,36.3165559,127.3199401
럭셔리모텔,대전광역시 중구 대종로386번길 11 (부사동),여관업,23,0,36.3207914,127.4337158
라움스테이,"대전광역시 유성구 계룡로 129, 7. 8. 9층 (봉명동)",숙박업 기타,34,2,36.3535447,127.3417308
무비스모텔,대전광역시 중구 대흥로169번길 30 (대흥동),여관업,34,0,36.3260219,127.4302508
나인스팟호텔,대전광역시 중구 중앙로129번길 28 (선화동),여관업,40,0,36.3288321,127.4237966
하얏트모텔,대전광역시 중구 목척7길 24 (은행동),여관업,20,0,36.330441,127.4266956
솔비모텔,대전광역시 동구 한밭대로 1316-11 (용전동),여인숙업,17,0,36.3576705,127.4343969
낙원하우스,대전광역시 중구 중앙로16번길 19-5 (문화동),여관업,13,0,36.3209399,127.4147483
시티원 모텔,대전광역시 유성구 계룡로74번길 13-1 (봉명동),여관업,27,0,36.3522697,127.3382961
로지호텔,대전광역시 중구 대종로452번길 48 (대흥동),여관업,33,0,36.3258287,127.429728
카리스마모텔,대전광역시 중구 유등천동로 326-16 (산성동),여관업,36,0,36.307534,127.3847183
아이엔지,대전광역시 서구 둔산중로40번길 34 (둔산동),일반호텔,43,2,36.3501304,127.3868726
호텔 칸느,대전광역시 유성구 온천서로 30-9 (봉명동),여관업,30,4,36.3573221,127.3394849
샾모텔,대전광역시 동구 동서대로 1715-9 (용전동),여관업,39,3,36.3458005,127.4298745
드라마 모텔,대전광역시 유성구 온천서로 2 (봉명동),여관업,54,1,36.3573221,127.3394849
시카고모텔,대전광역시 대덕구 신탄진동로23번길 65 (신탄진동),여관업,30,7,36.4494771,127.4315036
호텔일루와,대전광역시 중구 대둔산로 500 (유천동),여관업,33,0,36.3136333,127.3897665
자우리호텔 은행점,대전광역시 중구 대흥로111번길 35 (대흥동),숙박업 기타,34,0,36.3248179,127.4250515
이티모텔,대전광역시 중구 유천로17번안길 52 (유천동),여관업,26,0,36.3147438,127.3921103
베스트인시티호텔,대전광역시 중구 대종로386번길 1 (대흥동),여관업,35,0,36.3207914,127.4337158
자바호텔,"대전광역시 중구 중앙로109번길 36 (선화동,20)",여관업,28,0,36.3287385,127.4214893
아델리아,대전광역시 중구 계백로1685번길 5 (오류동),여관업,25,0,36.3230295,127.4052355
단밤,"대전광역시 중구 대흥로158번길 53 (대흥동,,9,24번지)",여관업,32,2,36.3228855,127.4300124
스타호텔,대전광역시 중구 대흥로158번길 46 (대흥동),여관업,34,0,36.3228855,127.4300124
휴모텔,대전광역시 중구 목척7길 26 (은행동),여관업,19,0,36.330441,127.4266956
로또모텔,대전광역시 유성구 대정로 20 (대정동),여관업,35,10,36.3165559,127.3199401
베스트인시티호텔2,"대전광역시 중구 대종로386번길 7 (부사동,,대흥동49-12)",여관업,35,0,36.3207914,127.4337158
에스엠호텔,대전광역시 서구 계룡로636번길 14-13 (용문동),여관업,28,0,36.3394122,127.3907908
장미여인숙,"대전광역시 동구 중앙로203번길 36 (중동,22-9, 22-25)",여인숙업,3,5,36.3328297,127.4303256
더휴식 아늑 대전용전2호점,대전광역시 동구 한밭대로1316번길 2 (용전동),일반호텔,36,0,36.3515188,127.439411
미드멜리호텔,"대전광역시 서구 둔산중로40번길 27 (둔산동,(3~7층))",여관업,34,10,36.3501304,127.3868726
초이스모텔,대전광역시 동구 한밭대로1314번길 21 (용전동),여관업,22,8,36.3518336,127.4387232
클래스모텔,대전광역시 대덕구 한밭대로1149번길 15-6 (중리동),여관업,38,4,36.3597893,127.4262945
포시즌모텔,대전광역시 중구 목척7길 13 (은행동),여관업,31,1,36.330441,127.4266956
까펠라,대전광역시 유성구 한밭대로492번길 16-32 (봉명동),여관업,33,0,36.3589169,127.3530587
사보이모텔,대전광역시 동구 한밭대로 1288 (용전동),여관업,35,1,36.3576705,127.4343969
피아노,대전광역시 동구 동서대로1683번길 94-4 (용전동),여관업,24,0,36.3524766,127.435556
더리즈,대전광역시 중구 문창로98번길 38 (문창동),여관업,25,0,36.3220955,127.4331035
칸모텔,대전광역시 중구 인창로6번길 19 (대흥동),여관업,28,0,36.321262,127.4309165
호텔 위슬리 앤 버번,대전광역시 서구 둔산로65번길 34 (둔산동),여관업,33,2,36.3509036,127.3811509
스카이호텔,대전광역시 대덕구 신탄진동로23번길 43 (신탄진동),여관업,22,3,36.4498017,127.4312636
호텔카라,대전광역시 서구 월평로 57 (월평동),여관업,40,2,36.3571791,127.3630649
호텔띠아모,대전광역시 중구 문창로 92 (문창동),여관업,25,0,36.3160659,127.4338853
호텔루키,대전광역시 중구 대흥로158번길 25 (대흥동),여관업,32,2,36.3228855,127.4300124
에이스모텔,대전광역시 대덕구 한밭대로1149번길 25-11 (중리동),여관업,28,1,36.3597893,127.4262945
그리스호텔,대전광역시 중구 인창로 31 (문창동),여관업,30,0,36.3224159,127.4316699
잉카호텔,대전광역시 대덕구 중리로7번길 22 (중리동),여관업,39,0,36.3597079,127.4230059
아트빈,대전광역시 대덕구 한밭대로1149번길 21 (중리동),여관업,27,0,36.3597893,127.4262945
호텔로드,대전광역시 대덕구 신탄진로810번길 50 (신탄진동),여관업,31,4,36.4504391,127.4327313
대성모텔,대전광역시 유성구 계룡로155번길 39 (봉명동),여관업,10,18,36.353228,127.3479079
파라곤호텔(PC),대전광역시 유성구 계룡로87번길 72 (봉명동),여관업,35,5,36.3557237,127.3411667
